"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","facebook_cost","google_ads_cost","bing_ads_cost","tiktok_cost","influencer_cost","tiktok_influencer_cost","tatari_cost","mntn_cost","dm_cost","cluster","top_sol"
"61","5_68_15",0,0.481751882116504,0.289093598499136,0.808861445042059,0.0979772559001571,0.297473770883018,0.679675106085992,0.1686545322219,0.322934637444367,0.331067264936694,0.711872880014106,0.747009150887919,0.493505064329138,0.235404545489872,2,TRUE
"62","5_68_3",0,0.496974665465618,0.28529156313831,0.7981780696563,0.0975909578715103,0.278984418884747,0.739431178868244,0.15069714270969,0.36562873204841,0.314033628029055,0.706067899385856,0.629180634546313,0.548440975026911,0.279492255587032,2,FALSE
"63","5_69_5",0,0.518516721824613,0.275346778644771,0.838547919544182,0.0965800976953237,0.136382744762631,0.386504881970293,0.317408206998338,0.318638113416314,0.627186956908086,0.685864382632499,0.751307590620943,0.648509244369014,0.530002743164959,2,FALSE
"64","5_70_16",0,0.514394640973217,0.276451248791005,0.849777265815643,0.0964057950521777,0.129909938437797,0.396531052508639,0.317858002574333,0.280752670603788,0.613314090661906,0.858263619868972,0.738356968756425,0.648863541877481,0.494668422286806,2,FALSE
"65","5_71_12",0,0.466556922412889,0.287748123989208,0.882425305457385,0.097773086419966,0.267050040983185,0.246039064315011,0.741082586388313,0.265363883998449,0.394720448350607,0.775323630478671,0.691623433347327,0.605927962783599,0.278113005447808,1,FALSE
"66","5_71_15",0,0.580654085885863,0.263784992646529,0.757497123692647,0.0970529842348672,0.0948227787564131,0.492168023543667,0.359555404460575,0.504694477153483,0.0593252733679372,0.904742628551798,0.66155789505844,0.708309186669642,0.520676610588212,2,FALSE
"67","5_73_7",0,0.582979765450871,0.263752998368822,0.755723379554177,0.0970427024988592,0.0945900723544858,0.48704574796965,0.355861509120457,0.516374605515282,0.0603033642522839,0.902749481294389,0.648819730173137,0.713199005352523,0.528065748407928,2,FALSE
"68","5_74_8",0,0.502706577979894,0.281275059606617,0.815472152514839,0.096749266254638,0.213421443203168,0.613114085695769,0.0141414901726547,0.304444025392567,0.393059631329268,0.932987860166764,0.839952596111966,0.675941681113858,0.278967098736507,2,FALSE
"69","5_75_5",0,0.503427548752208,0.282937528807245,0.827424776753015,0.0966436388014038,0.215062640648419,0.810357584366733,0.0458757244126658,0.234971013919344,0.27549749383561,0.718812569655801,1,0.642246308283382,0.244004705407366,2,FALSE
"70","5_76_10",0,0.576375778432587,0.264034976624143,0.765996489379464,0.0970526831187022,0.0761746709353647,0.4327758810706,0.461043119277475,0.460314369882678,0.064622438163676,0.899789254686359,0.659015428944271,0.6842724653875,0.526181519287355,2,FALSE
